concept_id,concept_code,concept_name,vocabulary_id,ingredient
36788393,OMOP4776649,Naloxone 8 MG / Tilidine 100 MG Extended Release Oral Tablet [Valtran] Box of 1,RxNorm Extension,tilidine
36788394,OMOP4776650,Naloxone 8 MG / Tilidine 100 MG Extended Release Oral Tablet [Valtran],RxNorm Extension,tilidine
36788395,OMOP4776651,Naloxone 8 MG / Tilidine 100 MG Extended Release Oral Tablet Box of 1,RxNorm Extension,tilidine
36788396,OMOP4776652,Naloxone / Tilidine Extended Release Oral Tablet [Valtran],RxNorm Extension,tilidine
36880268,OMOP997520,Naloxone 4 MG / Tilidine 59.9 MG Extended Release Oral Tablet,RxNorm Extension,tilidine
36880269,OMOP991606,Naloxone 12 MG / Tilidine 180 MG Extended Release Oral Tablet,RxNorm Extension,tilidine
36880270,OMOP999718,Tilidine 71.2 MG/ML Oral Solution Box of 100,RxNorm Extension,tilidine
36881650,OMOP1006006,Tilidine 71.5 MG/ML,RxNorm Extension,tilidine
36882159,OMOP1006382,Naloxone 17.6 MG / Tilidine 206 MG Extended Release Oral Tablet,RxNorm Extension,tilidine
36882160,OMOP992325,Tilidine 71.2 MG/ML Oral Solution Box of 50,RxNorm Extension,tilidine
36883095,OMOP1001787,Naloxone 8 MG / Tilidine 120 MG Extended Release Oral Tablet,RxNorm Extension,tilidine
36884494,OMOP995728,Tilidine 240 MG,RxNorm Extension,tilidine
36885002,OMOP1002880,Naloxone 6.11 MG/ML / Tilidine 71.5 MG/ML Oral Solution,RxNorm Extension,tilidine
36886012,OMOP995808,Tilidine 71.2 MG/ML Oral Solution Box of 10,RxNorm Extension,tilidine
36886966,OMOP1002977,Naloxone 17.6 MG / Tilidine 240 MG Extended Release Oral Tablet,RxNorm Extension,tilidine
36886967,OMOP996397,Tilidine 71.5 MG/ML Oral Solution Box of 20,RxNorm Extension,tilidine
36887384,OMOP1000694,Tilidine 71.2 MG/ML,RxNorm Extension,tilidine
36889377,OMOP1005821,Tilidine 59.9 MG,RxNorm Extension,tilidine
36890395,OMOP993139,Tilidine 180 MG,RxNorm Extension,tilidine
36890910,OMOP999094,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML Oral Solution,RxNorm Extension,tilidine
36892350,OMOP988502,Tilidine 120 MG,RxNorm Extension,tilidine
36893360,OMOP995512,Tilidine 206 MG,RxNorm Extension,tilidine
36893862,OMOP995551,Tilidine 71.5 MG/ML Oral Solution,RxNorm Extension,tilidine
